0.234375|63|0|c
0.234375|63|1|ai
0.234375|61|0|b
0.234375|61|1|u
0.234375|63|0|t
0.234375|63|1|ou
0.234375|61|0|sh
0.234375|61|1|iii
0.46875|63|0|n
0.46875|63|1|a
0.46875|59|0|l
0.46875|59|1|i
0.46875|58|0|ch
0.46875|58|1|u
0.234375|59|0|l
0.234375|59|1|e
0.234375|61|0|c
0.703125|61|1|uo
0.46875|0|2|sp
0.234375|59|0|l
0.234375|59|1|ian
0.234375|58|2|ai
0.234375|59|0|d
0.234375|59|1|e
0.234375|58|0|j
0.234375|58|1|in
0.703125|59|0|d
0.703125|59|1|u
0.234375|0|2|sp
0.46875|59|2|iou
0.234375|58|0|x
0.234375|58|1|ie
0.234375|56|0|l
0.46875|56|1|uo
0.46875|58|0|h
0.46875|58|1|ou
0.234375|0|2|sp
0.234375|63|0|j
0.234375|63|1|v
0.234375|61|0|x
0.234375|61|1|ian
0.234375|63|0|b
0.234375|63|1|ao
0.234375|61|0|sh
0.234375|61|1|uo
0.46875|63|0|n
0.46875|63|1|i
0.46875|68|2|ie
0.46875|66|0|x
0.46875|66|1|i
0.46875|61|0|h
0.46875|61|1|uan
0.703125|61|2|uo
0.234375|0|2|sp
0.46875|59|0|z
0.46875|59|1|en
0.234375|58|0|m
0.234375|58|1|e
0.234375|59|0|h
0.703125|59|1|uei
0.234375|0|2|sp
0.234375|61|0|h
0.234375|61|1|ai
0.46875|63|2|u
0.46875|61|0|d
0.46875|61|1|ong
0.234375|59|2|v
0.703125|61|0|zh
0.703125|61|1|ong
0.234375|63|0|q
0.234375|63|1|i
0.234375|61|0|x
0.234375|61|1|iang
0.234375|63|0|b
0.234375|63|1|ao
0.234375|61|0|g
0.234375|61|1|ao
0.46875|63|0|t
0.46875|63|1|ian
0.46875|59|0|q
0.46875|59|1|i
0.46875|58|0|h
0.46875|58|1|en
0.234375|59|0|b
0.234375|59|1|u
0.234375|61|0|c
0.703125|61|1|uo
0.46875|0|2|sp
0.234375|59|0|t
0.234375|59|1|ai
0.234375|58|2|iang
0.234375|59|0|sh
0.234375|59|1|ai
0.234375|58|0|d
0.234375|58|1|e
0.46875|59|2|uo
0.46875|0|2|sp
0.46875|59|0|l
0.46875|59|1|ian
0.234375|58|0|j
0.234375|58|1|ia
0.234375|56|0|h
0.46875|56|1|ong
0.46875|58|0|h
0.46875|58|1|ong
0.234375|0|2|sp
0.234375|63|2|uo
0.234375|61|2|ie
0.234375|63|0|h
0.234375|63|1|en
0.234375|61|0|x
0.234375|61|1|iang
0.46875|63|0|g
0.46875|63|1|en
0.46875|68|0|n
0.46875|68|1|i
0.46875|70|0|z
0.46875|70|1|uo
0.46875|68|0|p
0.46875|68|1|eng
0.46875|66|2|iou
0.46875|0|2|sp
0.234375|64|0|j
0.234375|64|1|iou
0.234375|63|0|n
0.234375|63|1|i
0.234375|64|0|sh
0.234375|64|1|a
0.234375|63|0|sh
0.234375|63|1|a
0.46875|64|0|h
0.46875|64|1|ai
0.46875|71|0|b
0.46875|71|1|u
0.9375|66|0|d
0.9375|66|1|ong
0.46875|0|2|sp
0.234375|66|2|uo
0.234375|64|0|sh
0.234375|64|1|u
0.46875|63|2|i
0.46875|63|2|er
0.703125|63|0|s
0.703125|63|1|an
0.234375|0|2|sp
0.234375|61|0|m
0.234375|61|1|u
0.46875|61|0|t
0.46875|61|1|ou
0.234375|61|0|r
0.234375|61|1|en
0.46875|0|2|sp
0.234375|63|0|z
0.234375|63|1|ai
0.234375|61|0|b
0.234375|61|1|u
0.46875|59|0|x
0.46875|59|1|ing
0.46875|61|0|d
0.46875|61|1|ong
0.46875|63|0|j
0.46875|63|1|iou
0.46875|71|2|iao
0.234375|70|0|b
0.234375|70|1|ei
0.46875|68|0|k
0.46875|68|1|ou
0.703125|66|0|f
0.703125|66|1|en
0.46875|0|2|sp
